Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J1421.6-4819,215.4125,-48.3317,318.03525,11.876802,6.3946233,2.7033478e-10,6.609249e-11,3.654834e-12,8.6948894e-13,LogParabola,2.726123,0.11989319,887.8491,2.8680265,0.27463162,0.5405847,0.29133555,0,bcu,PMN J1421-4820,0.9792788,0.9130527,rfc,215.411027679,-48.3396654222,6.3e-07,RFC J1421-4820,Gaia DR2: 6091676120218808320,nan,-inf,,0.0,0.0,10.842573,0.37667355,0.2665576,10.0
4FGL J1422.3+3223,215.5772,32.3911,53.38123,69.632706,15.476877,3.8000567e-10,3.952808e-11,4.9159175e-12,4.2587535e-13,PowerLaw,2.377719,0.07243115,917.0845,2.37159,0.078043506,0.0084693525,0.03966713,0,fsrq,OQ 334,0.9932535,0.9157775,crates,215.626578971,32.3862333611,9.5e-08,RFC J1422+3223,Gaia DR2: 1477906497191476864,18.2432,0.682,LSP,12882495000000.0,1.0332775e-12,64.09036,0.73046845,0.21777597,10.0
4FGL J1422.6+5801,215.6625,58.0245,101.84902,55.211433,10.830007,1.7349608e-10,2.8105705e-11,2.244774e-12,3.7584768e-13,PowerLaw,1.7469627,0.10280912,4741.759,1.5667285,0.17138278,0.15435416,0.08915504,0,bll,1ES 1421+582,0.999335,0.9918529,bzcat,215.662011946,58.0320883167,3.7e-07,RFC J1422+5801,Gaia DR2: 1611442283164184448,18.6456,0.635,HSP,3.0199516e+17,5.8356735e-12,8.110737,0.15686056,0.3546746,48.4462
4FGL J1422.6+8150,215.668,81.8435,119.101006,34.594646,4.6582165,9.1803815e-11,2.3266463e-11,1.0198746e-12,2.5793807e-13,PowerLaw,2.052522,0.1815,2942.9165,1.4437258,0.5179756,0.6131009,0.4074097,0,bcu,WN B1426.4+8205,-inf,0.0,rfc,216.074404917,81.8672704639,9.2296585e-07,RFC J1424+8152,,nan,-inf,,0.0,0.0,3.133267,0.0,10.0,10.0
4FGL J1423.1+3738,215.7921,37.6452,67.30788,68.049034,22.322073,6.331244e-10,4.8366085e-11,7.0351255e-12,5.3349854e-13,PowerLaw,2.0766606,0.060610093,1869.4592,1.9533063,0.091513544,0.1411715,0.05708369,0,bll,NVSS J142304+373729,0.96661955,0.0,bllac,215.769228413,37.6251582417,2.3e-07,RFC J1423+3737,Gaia DR2: 1481530315714077312,17.8922,-inf,ISP,291071700000000.0,7.916569e-13,209.0753,1.3671398,0.37470537,14.98
4FGL J1423.5+4524,215.8762,45.4034,83.93665,64.13391,5.8940825,1.3022294e-10,2.760996e-11,1.6392639e-12,3.4671005e-13,PowerLaw,2.3468204,0.20444812,1359.7334,2.4665427,0.124334805,-0.10085367,0.040485203,0,bcu,87GB 142138.0+453705,0.9919421,0.0,rfc,215.869673938,45.3955280111,8.1e-07,RFC J1423+4523,,nan,-inf,LSP,13963683000000.0,7.3776494e-13,9.248367,0.2702715,0.50074583,10.0
4FGL J1423.5-7829,215.8833,-78.4984,307.59653,-16.469435,5.7541947,2.2836306e-10,4.2287687e-11,3.2091786e-12,6.402822e-13,PowerLaw,2.4591897,0.12402082,1333.4363,2.3256757,0.26097798,0.34570494,0.18758866,1,fsrq,PKS 1418-782,0.9981294,0.95594275,bzcat,215.931455096,-78.4930276111,1.7e-07,RFC J1423-7829,Gaia DR2: 5785750066486756352,nan,0.788,LSP,5888436300000.0,3.6502954e-13,20.525162,0.7370845,0.30120185,10.0
4FGL J1424.1-1750,216.0294,-17.8447,332.07303,39.72544,6.173546,2.0668298e-10,4.3856075e-11,2.345705e-12,4.851324e-13,PowerLaw,1.9458278,0.141653,3799.519,1.9010355,0.17939836,0.05020676,0.08612061,0,bll,NVSS J142412-175010,0.9926943,0.0,rfc,216.051467912,-17.8356776056,1.1e-06,RFC J1424-1750,Gaia DR2: 6284613202270624640,17.5101,0.082244,HSP,3019951800000000.0,9.37385e-13,20.565052,0.7189419,0.3321338,23.6558
4FGL J1424.1+2917,216.0295,29.2917,44.433765,69.50134,5.0603476,8.2782e-11,2.5148073e-11,9.730698e-13,2.81008e-13,PowerLaw,1.8728148,0.20131582,4677.274,1.7860063,0.2912422,0.06331604,0.15116422,0,bcu,NVSS J142408+291800,0.99808794,0.8228968,rfc,216.034730971,29.3001277139,8.2e-07,RFC J1424+2918,Gaia DR2: 1284038236155043456,nan,0.335,,0.0,0.0,5.139529,0.0,10.0,10.0
4FGL J1424.2+0433,216.0508,4.5628,351.45593,58.402985,12.680331,4.2436737e-10,4.771927e-11,4.8795573e-12,5.186545e-13,PowerLaw,2.2093713,0.08209306,1434.6995,2.101167,0.1265323,0.13016507,0.07921119,0,bll,TXS 1421+048,0.9982624,0.93884003,bzcat,216.039587171,4.58113430556,2e-07,RFC J1424+0434,Gaia DR2: 3669465679397926784,18.2009,0.6654,LSP,52480746000000.0,2.0115739e-12,39.389004,0.68464,0.21986526,27.3551
4FGL J1424.6+1447,216.1695,14.784,8.0074625,65.045395,5.8547225,1.8431892e-10,3.7061236e-11,2.1675548e-12,4.5234156e-13,PowerLaw,2.2521288,0.16556135,1797.2188,2.294324,0.1602092,-0.035598163,0.06606299,0,bll,SDSS J142436.29+144910.5,0.9897758,0.0,bzcat,216.15121459960938,14.819580078125,0.0045,,,nan,-inf,,0.0,0.0,10.924917,0.4208386,0.31624657,10.0
4FGL J1425.0+3615,216.252,36.257,63.4706,68.17862,18.579838,5.8546196e-10,5.664405e-11,6.7171806e-12,6.4192813e-13,PowerLaw,1.9193308,0.067878164,3672.3188,1.8185004,0.097581044,0.13801007,0.056043606,0,bll,FBQS J142455.5+361536,0.99573267,0.91332716,rfc,216.231298142,36.2600114694,2.7e-07,RFC J1424+3615,Gaia DR2: 1481198327625201024,18.7622,-inf,ISP,264240880000000.0,5.7296225e-13,4.335106,0.0,10.0,68.8446
4FGL J1425.4-0119,216.3593,-1.3333,345.1888,53.643364,5.3068347,1.0091645e-10,3.0410112e-11,1.2914161e-12,3.5931636e-13,PowerLaw,1.7590604,0.18976519,6225.878,1.2759514,0.402933,0.6293207,0.35258642,0,bll,2QZ J142526.2-011826,0.99867463,0.0,bzcat,216.35903930664062,-1.307170033454895,0.0045,,,nan,-inf,ISP,158489330000000.0,3.2055386e-13,12.114458,0.43634617,0.44345486,39.4017
4FGL J1426.1+3403,216.5394,34.0627,57.56163,68.529755,12.831523,3.2832143e-10,3.7988876e-11,3.6492554e-12,4.181836e-13,PowerLaw,2.0816786,0.08692281,1807.1129,1.9459863,0.14014085,0.1387669,0.080056146,0,bll,RGB J1426+340,0.9980701,0.84443223,rfc,216.532150775,34.0739790833,1.8e-07,RFC J1426+3404,Gaia DR2: 1479569813465953536,18.2198,-inf,ISP,223872120000000.0,1.5328618e-12,15.374455,0.35443246,0.17462337,20.7837
4FGL J1426.4+3625,216.6189,36.4327,63.67189,67.84317,5.10747,1.8210837e-10,3.9736405e-11,2.5367163e-12,5.7694686e-13,PowerLaw,2.451167,0.14358552,1257.9281,2.3953924,0.20002729,0.106423065,0.12852904,16,fsrq,B2 1424+36,0.99443567,0.94145256,cgrabs,216.654531254,36.419325975,7.5e-08,RFC J1426+3625,Gaia DR2: 1481179395409479040,19.9897,1.091,LSP,5754399500000.0,7.9020357e-13,5.3268895,0.0,10.0,10.0
4FGL J1427.0+2348,216.7558,23.8013,29.49318,68.20423,141.63719,1.2246137e-08,2.0346744e-10,1.2599997e-10,2.7924251e-12,LogParabola,1.815741,0.009865682,1227.459,1.6994758,0.016543463,0.0598946,0.0062051946,0,BLL,PKS 1424+240,1.0,0.9944671,identified,216.751632387,23.8000104139,6.8e-08,RFC J1427+2348,Gaia DR2: 1254715738511038976,14.0341,0.6035,HSP,1963360300000000.0,4.435545e-11,205.41731,0.22120982,0.06105706,253.705
4FGL J1427.4-1823,216.8669,-18.3955,332.65866,38.870132,11.0358515,3.6239955e-10,4.962531e-11,4.0937176e-12,5.593202e-13,PowerLaw,1.9593098,0.09600387,3204.2437,1.8266832,0.15169364,0.14591166,0.086552374,0,bcu,NVSS J142726-182303,0.9975431,0.8859929,rfc,216.857977983,-18.3844975222,9.5e-07,RFC J1427-1823,Gaia DR2: 6284426452796664960,nan,-inf,ISP,275422860000000.0,6.3169e-13,5.781771,0.0,10.0,30.309
4FGL J1427.6-3305,216.913,-33.094,325.1789,25.587687,36.44476,1.8528038e-09,8.785394e-11,1.7739789e-11,9.527136e-13,LogParabola,2.2845786,0.031340178,898.2996,2.2087724,0.044078562,0.10882573,0.026108123,0,bll,PKS 1424-328,0.9998135,0.98047215,cgrabs,216.922337942,-33.09208495,2e-07,RFC J1427-3305,Gaia DR2: 6216445680372646784,18.2951,-inf,LSP,5861381500000.0,8.727644e-12,237.35925,0.6211572,0.17129815,31.7372
4FGL J1427.7-3215,216.9461,-32.2537,325.58463,26.345203,13.095118,4.686531e-10,5.4835362e-11,5.211508e-12,6.151719e-13,PowerLaw,2.0880823,0.08948068,2773.8567,2.0798535,0.096255414,0.013763333,0.041541055,0,bll,NVSS J142750-321515,0.9991879,0.8184695,rfc,216.959202154,-32.2547281694,3.3e-06,RFC J1427-3215,Gaia DR2: 6219509980623940864,nan,-inf,ISP,275422860000000.0,9.860047e-13,24.528261,0.5339658,0.1944944,98.2219
4FGL J1427.9-4206,216.9866,-42.106,321.44855,17.269459,258.0308,3.8168814e-08,3.571237e-10,3.536056e-10,3.349876e-12,LogParabola,2.191294,0.005644526,677.4515,2.08048,0.008387875,0.09571016,0.0044064606,0,FSRQ,PKS 1424-41,1.0,0.99985975,identified,216.984573167,-42.1053993583,6.8e-08,RFC J1427-4206,Gaia DR2: 6103247522322060288,17.0285,1.522,LSP,13963683000000.0,2.3692888e-11,12653.29,0.8003768,0.21400502,59.0618
4FGL J1428.1+1629,217.0469,16.4908,12.518718,65.21632,9.963345,2.4581992e-10,3.999483e-11,4.810718e-12,5.6341905e-13,PowerLaw,2.707586,0.10095973,554.44543,2.683039,0.11840497,0.028225197,0.06551141,0,bcu,MG1 J142813+1629,0.9951916,0.0,rfc,217.047431975,16.4810753556,1.7e-07,RFC J1428+1628,Gaia DR2: 1229406385293489664,19.2918,-inf,,0.0,0.0,16.585861,0.3434087,0.16090357,10.0
